user_id,recipe_id,date,rating,review
52476,181765,2006-08-15,5,"We have been eating this bbq sauce for years!  Fortunately for me I live in Northern Alabama and have access to the restaurant that originated the white bbq sauce (Big Bob Gibson's). It's my understanding that this white sauce is indicative only to Northern Alabama. The only way I have ever seen it eaten or have eaten it myself is with ""smoked"" chicken (either poured over the chicken after its done or used as a dipping sauce).  The combination of the smoked chicken and the tartness of the sauce is heavenly! I make this often in the Summer months and encourage everyone to give it a try!!  "
37722,181765,2007-03-12,5,"This is excellent and the same recipe I've always used except that we increased the amt. of pepper slightly, and added a little sugar and salt to boot. Never tried the red pepper but will. I lived for 34 years in Huntsville, AL before moving to St. Louis, and our favorite place to have white BBQ sauce was the old Greenbrier restaurant on Hwy 20. There we douse grilled chicken with the sauce, but a major treat is their heavenly hushpuppies, to which we also add the white sauce. I grill skin-on, bone-in chicken breasts pre-seasoned only with seasoned salt and serve the white sauce on the side when serving. And Sally's right: the sauce tastes a whole lot better after chilling for a few days. Finally, don't buy commercially bottled white BBQ sauce; it's usually awful. Thanks, Sally!"
135470,181765,2008-05-05,1,I did not care for this at all. All I could taste was the vinegar.
286566,352182,2011-02-16,4,"We really liked the marinade but next time I would use fresh oregano and also add some fresh rosemary (we are fortunate that both grow abuntantly all year round and I did double the garlic as we just love the fresh garlic we have harvested).  I cooked on an indoor grill (using 12 loin chops for 4 which were served up with 2 recieving 4 and the other 2 persons got 2 each which suited us).  I cooked on an indoor electric ridged grill 5 minutes per side which gave a well done to the smaller chops and a slight pink to the larger ones so everyone got what they liked.  Thank you Sara 76, made for Bargain Basement."
1802964648,424551,2014-07-25,4,When making this recipe be aware of the scoville heat units of your cayenne.  A half teaspoon of cayenne 40 is going to be less spicy than a cayenne 90.
49304,106241,2005-01-17,5,"Very good,I made 2 large onions made them just like the recipe stated. We really enjoyed them with Swordfish and a big salad. We love the syrupie balsamic sauce over the onion. Thank you Mermaidmagic, for the recipe."
37449,106241,2005-02-18,5,"I halved the recipe because it was just for me, but I wish I had made the full recipe, this was so good! I loved the intense taste of the reduced balsamic vienegar! Thanks mermaid!  :)"
52543,106241,2005-03-05,5,"If you love balsamic vinegar, this is a must try! Its also quick & easy. Thanx mermaidmagic!"
121690,63529,2005-01-06,4,I made this exactly as written. My family and I found it very enjoyable.
1609858,63529,2014-02-04,4,"I thought this sounded really strange, but I wanted to try it for my little guy who loves bananas.  We all enjoyed it!"
29782,129621,2008-11-07,5,"What a wonderful potato soup recipe! I made this for the cook-a-thon for stacy. She will be missed but her recipes live on. Stacy my friend  I know your in heaven looking down on all of us with a big smile.  My hubby really loved your potato soup (so did I )  he said and I quote "" This is the stuff ""  I added some chopped onion and onion powder to the potatoes along with a Tbs. of bacon grease.  Hubby ate so much that his belly was so full, he was growling on the sofa in pain from stuffing his self. LoL   
This was so easy to come together and ready in no time at all.  Thanks for posting this delicious soup! :)   I miss ya my friend!!"
317809,177644,2008-08-17,5,We gave this jam a try today. It was fun and easy to make. The aroma still fills my kitchen and we can't wait to try it out.
97901,177644,2009-07-17,5,"This worked out great! It is definately strawberrybanana-you can taste each. I was worried it wasn't going to set up b/c it was pretty runny when we went to bed, but it was solid the next morning. It took me about 5 bananas to get enough. I didn't add the butter to reduce the foaming and I would strongly reccomend adding it. I had a TON of foam to skim off!!!!!!"
91340,177644,2009-08-21,5,Lovely Strawberry banana jam. The Banana takes center stage in this one but isn't overpowering. My 14 year old son love this one on PB&J sandwiches. Pretty color and sets up nicely; a little loose but that is typical for home canned jams. Thanks for posting! :-)
1352668,177644,2009-08-23,5,This was really great jam.  My husband already asked me to make more so we won't run out!  The strawberry/banana combo complement each other so nicely.
134289,177644,2009-08-25,5,Yummy!!  Very easy to make!!
2282309,177644,2012-06-02,0,I doubled everything except the sugar and the pectin and it turned out perfect!
53959,112973,2006-01-28,5,You can never go wrong with potatoes. It is one of my favorite foods. I made it exactly like stated and it was delicious. Yummmm!!!!!
57042,112973,2007-03-07,5,I gave this 5 stars. My family loves mashed potatoes. I make mine very close to this except I use milk and black pepper. Thanks for posting a comfort recipe! Christine (internetnut)
174096,112973,2011-08-29,5,"Great and simple, as stated!  I used fat free evaporated milk and did not peel the potatoes first.  Thanks for sharing!  Veg*n Swap 37"
175827,304159,2008-10-05,5,This was so delicious!  It made it's own fantastic caramel syrup that we drizzled over top.  Thanks for a fantastic recipe!
602094,304159,2010-05-16,5,"Wow this was so simple to make and so worth every minute. The hardest part was coring the apples. I did have to cook it a tad longer, but it's easy to see when they are done. The apples were cooked perfectly, the crust was so good and it went great with a scoop of vanilla ice cream. We drizzled some carmel on top of it all as well. I'll definitely be making these again!"
245642,38959,2005-09-23,5,It is so nice not to look in every cook book for this simple sauce :o)
200728,38959,2005-11-16,3,Easy to make.  
1237233,240311,2009-04-13,5,"This bread pudding tastes just like the ones served on Disney Property.  The Vanilla Sauce (Creme Anglaise) is essential to complete the dish.  

A few tips to help make the dessert great!!  

- Let white bread get stale for about a day or so to help absorb the egg mixture.  
- Cut of the crusts of the bread (at least half the loaf) to keep the pudding more smooth and less chewy.  
- I also added a tsp of vanilla to the egg mixture which enhanced the flavor as well!!"
37449,275526,2008-12-24,5,"So easy to make and yummy too! I used rice milk, didn't freeze my banana and used peanut butter that has flax and honey in it. Thanks for a nutritious drink!"
1328550,275526,2010-05-12,5,I was looking for a recipe that didn't use those pricey powders! Thanks.
1609858,275526,2013-06-27,4,"Wanted to use up some bananas that were getting overripe and thought my one year old would like this with breakfast.  He did!  I didn&#039;t try it myself as I&#039;m not big on banana flavored things and I also don&#039;t drink milk much either, so I figured I wouldn&#039;t like it.  Thanks for the idea."
2001480980,275526,2017-04-10,5,"This was really good! I used rice milk, added a little extra peanut butter and some cocoa powder as well."
135566,364186,2010-04-11,5,Great recipe to use for teaching a new cook.  My youngest niece wanted to learn how to make French toast so we used your recipe.  Turned out perfect! Made for Spring 2010 Pick A Chef.
424680,400243,2009-12-29,5,"What a fast, easy & interesting way to make a tasty sorbet! Making this recipe in my heavy-duty blender was a breeze! I look forward to trying it again with a combo of fruits! [Made & reviewed in the PRMR Holiday Special as a thank you for one of the new players!]"
