NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Cleaned_Desc
9279,87.23,46,0.7,0.28,0.37,11.42,1.4,9.92,6.0,0.17,7.0,16.0,157.0,0.0,0.1,0.057,0.052,0.0,9.5,0.028,0.026,0.417,0.135,0.029,5.0,0.0,5.0,5.0,1.9,0.0,345.0,17.0,0.0,0.0,190.0,35.0,0.0,73.0,0.26,0.0,0.0,6.4,0.017,0.134,0.044,0.0,165.0,"1 cup, sliced",66.0,"1 fruit,  (2-1/8"" dia)",plums
9287,87.55,41,0.73,0.51,1.64,9.57,3.6,,56.0,0.3,85.0,24.0,220.0,5.0,0.12,0.08,,0.6,14.0,0.014,0.06,0.46,,0.06,6.0,0.0,6.0,6.0,,0.0,43.0,2.0,0.0,0.0,25.0,3.0,,,,,,,0.067,0.075,0.213,0.0,149.0,1 cup,103.0,"1 fruit, without refuse",prickly pears
9298,15.43,299,3.07,0.46,1.85,79.18,3.7,59.19,50.0,1.88,32.0,101.0,749.0,11.0,0.22,0.318,0.299,0.6,2.3,0.106,0.125,0.766,0.095,0.174,5.0,0.0,5.0,5.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,3.5,0.058,0.051,0.037,0.0,165.0,"1 cup,  packed",145.0,"1 cup,  (not packed)",raisins seedless
9299,16.57,296,2.52,0.54,1.89,78.47,6.8,,28.0,2.59,30.0,75.0,825.0,28.0,0.18,0.302,0.267,0.6,5.4,0.112,0.182,1.114,0.045,0.188,3.0,0.0,3.0,3.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.178,0.022,0.159,0.0,165.0,"1 cup,  packed",145.0,"1 cup,  (not packed)",raisins seeded
9302,85.75,52,1.2,0.65,0.46,11.94,6.5,4.42,25.0,0.69,22.0,29.0,151.0,1.0,0.42,0.09,0.67,0.2,26.2,0.032,0.038,0.598,0.329,0.055,21.0,0.0,21.0,21.0,12.3,0.0,33.0,2.0,0.0,16.0,12.0,0.0,0.0,136.0,0.87,0.0,0.0,7.8,0.019,0.064,0.375,0.0,123.0,1 cup,312.0,"1 pint,  as purchased, yields",raspberries
9307,93.61,21,0.9,0.2,0.76,4.54,1.8,1.1,86.0,0.22,12.0,14.0,288.0,4.0,0.1,0.021,0.196,1.1,8.0,0.02,0.03,0.3,0.085,0.024,7.0,0.0,7.0,7.0,6.1,0.0,102.0,5.0,0.0,0.0,61.0,0.0,0.0,170.0,0.27,0.0,0.0,29.3,0.053,0.039,0.099,0.0,122.0,"1 cup, diced",51.0,1 stalk,rhubarb
9316,90.95,32,0.67,0.3,0.4,7.68,2.0,4.89,16.0,0.41,13.0,24.0,153.0,1.0,0.14,0.048,0.386,0.4,58.8,0.024,0.022,0.386,0.125,0.047,24.0,0.0,24.0,24.0,5.7,0.0,12.0,1.0,0.0,0.0,7.0,0.0,0.0,26.0,0.29,0.0,0.0,2.2,0.015,0.043,0.155,0.0,152.0,"1 cup,  halves",232.0,"1 cup, pureed",strawberries
9318,89.97,35,0.43,0.11,0.37,9.13,2.1,4.56,16.0,0.75,11.0,13.0,148.0,2.0,0.13,0.049,0.29,0.7,41.2,0.022,0.037,0.462,0.108,0.028,17.0,0.0,17.0,17.0,5.7,0.0,45.0,2.0,0.0,0.0,27.0,0.0,0.0,26.0,0.29,0.0,0.0,2.2,0.006,0.015,0.054,0.0,221.0,"1 cup, thawed",149.0,"1 cup, unthawed",strawberries frozen unswtnd
9320,73.18,96,0.53,0.13,0.24,25.92,1.9,24.01,11.0,0.59,7.0,13.0,98.0,3.0,0.06,0.02,0.25,0.7,41.4,0.016,0.051,0.401,0.108,0.03,15.0,0.0,15.0,15.0,4.6,0.0,24.0,1.0,0.0,0.0,14.0,0.0,0.0,21.0,0.23,0.0,0.0,1.7,0.007,0.018,0.064,0.0,255.0,"1 cup, thawed",284.0,"1 package,  (10 oz)",strawberries frozen swtnd sliced
9354,83.51,60,0.51,0.11,0.31,15.56,1.3,14.26,16.0,0.28,15.0,7.0,124.0,1.0,0.1,0.107,,0.4,9.4,0.102,0.021,0.284,,0.075,5.0,0.0,5.0,5.0,5.5,0.0,50.0,3.0,0.0,0.0,30.0,0.0,0.0,0.0,0.02,0.0,0.0,0.7,0.008,0.014,0.04,0.0,181.0,"1 cup, chunks",195.0,"1 cup, crushed",pineapple cnd juice pk drnd
9370,80.62,72,0.52,0.18,0.26,18.43,1.2,14.66,3.0,0.27,5.0,12.0,94.0,6.0,0.09,0.063,,0.0,0.7,0.02,0.02,0.625,0.024,0.013,9.0,0.0,9.0,9.0,3.8,0.0,626.0,31.0,0.0,0.0,333.0,85.0,0.0,33.0,1.19,0.0,0.0,2.4,0.013,0.047,0.066,0.0,222.0,1 cup,73.0,1 half,peaches cnd heavy syrup drnd
9403,84.87,56,0.37,0.09,0.29,14.39,0.6,13.24,7.0,0.38,5.0,9.0,114.0,3.0,0.09,0.073,0.032,0.2,17.6,0.009,0.014,0.26,0.096,0.022,1.0,0.0,1.0,1.0,,0.0,1316.0,66.0,0.0,,,,,,,0.0,0.0,,0.006,0.038,0.017,0.0,251.0,1 cup,31.4,1 fl oz,apricot nectar cnd w/ vit c
9404,90.0,39,0.5,0.1,0.2,9.2,,,9.0,0.2,12.0,15.0,162.0,1.0,0.05,0.033,0.02,,38.0,0.04,0.02,0.2,0.189,0.044,10.0,0.0,10.0,10.0,,0.0,440.0,22.0,0.0,,,,,,,0.0,0.0,,0.014,0.013,0.024,0.0,247.0,1 cup,196.0,"1 fruit,  yields",grapefruit juice pink
9412,84.14,63,0.39,0.16,0.3,15.01,3.1,9.69,9.0,0.19,6.0,11.0,101.0,1.0,0.08,0.078,0.037,0.1,4.4,0.012,0.026,0.164,0.042,0.026,6.0,,6.0,,5.1,,28.0,1.0,,2.0,14.0,3.0,0.0,51.0,0.12,,,3.8,,,,,140.0,"1 cup, sliced",152.0,1 small,pears bartlett
9413,84.24,62,0.33,0.14,0.35,14.94,3.0,9.54,11.0,0.19,7.0,13.0,123.0,1.0,0.13,0.07,0.056,0.1,5.2,0.012,0.028,0.162,0.053,0.039,7.0,,7.0,,5.1,,24.0,1.0,,0.0,14.0,1.0,0.0,53.0,0.12,,,4.9,,,,,126.0,1 small,157.0,1 medium,pears red anjou
9414,83.18,67,0.36,0.09,0.28,16.1,3.1,10.23,10.0,0.15,7.0,14.0,122.0,1.0,0.13,0.104,0.047,0.0,2.8,0.012,0.023,0.152,0.057,0.021,7.0,,7.0,,5.1,,19.0,1.0,,0.0,11.0,0.0,0.0,11.0,0.12,,,5.2,,,,,140.0,"1 cup, sliced",159.0,1 small,pears bosc
9421,21.32,277,1.81,0.15,1.74,74.97,6.7,66.47,64.0,0.9,54.0,62.0,696.0,1.0,0.44,0.362,0.296,,0.0,0.05,0.06,1.61,0.805,0.249,15.0,0.0,15.0,15.0,9.9,,149.0,7.0,,0.0,89.0,0.0,0.0,23.0,,0.0,0.0,2.7,,,,,24.0,"1 date, pitted",,,dates medjool
9426,16.7,322,0.34,0.07,0.14,82.74,1.6,80.68,18.0,0.17,4.0,5.0,56.0,98.0,0.05,0.029,0.111,0.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.2,0.0,19.0,1.0,0.0,0.0,9.0,5.0,0.0,11.0,0.04,0.0,0.0,0.3,0.01,0.008,0.02,0.0,,,,,candied fruit
9436,86.63,51,0.11,0.06,0.08,13.12,0.3,12.45,17.0,0.36,3.0,2.0,24.0,5.0,0.02,0.015,0.028,0.4,15.2,0.003,0.003,0.08,0.07,0.015,7.0,0.0,7.0,7.0,1.5,0.0,692.0,35.0,0.0,0.0,402.0,26.0,0.0,0.0,0.21,0.0,0.0,0.8,0.014,0.022,0.011,0.0,251.0,1 cup,,,mango nectar cnd
9500,85.33,59,0.27,0.2,0.14,14.06,2.3,10.48,6.0,0.11,5.0,12.0,104.0,1.0,0.04,0.027,0.034,0.0,,0.015,0.025,0.075,0.051,0.034,3.0,,3.0,,3.4,,55.0,3.0,,0.0,27.0,12.0,0.0,31.0,0.24,,,2.6,,,,,109.0,"1 cup, sliced",260.0,1 large,apples red delicious w/ skn
9501,85.81,57,0.28,0.15,0.16,13.6,2.4,10.04,6.0,0.13,5.0,10.0,100.0,2.0,0.04,0.03,0.035,0.0,,0.018,0.026,0.094,0.074,0.051,3.0,,3.0,,5.1,,51.0,3.0,,0.0,25.0,12.0,0.0,28.0,0.18,,,1.8,,,,,109.0,"1 cup, sliced",215.0,1 large,apples golden delicious w/ skn
9502,85.46,58,0.44,0.19,0.29,13.61,2.8,9.59,5.0,0.15,5.0,12.0,120.0,1.0,0.04,0.031,0.044,0.1,,0.019,0.025,0.126,0.056,0.037,3.0,,3.0,,3.4,,100.0,5.0,,0.0,59.0,2.0,0.0,64.0,0.18,,,3.2,,,,,109.0,"1 cup, sliced",206.0,1 large,apples granny smith w/ skn
9503,85.76,57,0.25,0.12,0.2,13.68,2.3,10.37,7.0,0.12,5.0,11.0,108.0,1.0,0.05,0.021,0.037,0.0,,0.017,0.029,0.075,0.055,0.049,3.0,,3.0,,3.4,,28.0,1.0,,0.0,11.0,11.0,0.0,11.0,0.18,,,1.3,,,,,109.0,"1 cup, sliced",200.0,1 large,apples gala w/ skn
9518,85.75,52,1.2,0.65,0.46,11.94,6.5,4.42,25.0,0.69,22.0,29.0,151.0,1.0,0.42,0.09,0.67,0.2,26.2,0.032,0.038,0.598,0.329,0.055,21.0,0.0,21.0,21.0,12.3,0.0,33.0,2.0,0.0,16.0,12.0,0.0,0.0,136.0,0.87,0.0,0.0,7.8,,,,0.0,140.0,"1 cup, unthawed",,,raspberries frozen unswtnd
9526,58.2,160,1.05,0.04,0.1,40.61,1.0,32.2,3.0,0.62,2.0,4.0,34.0,5.0,0.03,0.035,0.085,,1.0,,,,,,,,,,,,33.0,2.0,,,20.0,,,,,,,,0.007,0.007,0.028,0.0,70.0,.25 cup,,,cranberry sauce jellied cnd ocean spray
10024,72.23,143,21.43,5.66,1.05,0.0,0.0,0.0,17.0,0.84,23.0,211.0,389.0,52.0,1.84,0.062,0.012,36.1,0.6,0.989,0.267,4.915,0.781,0.527,5.0,0.0,5.0,5.0,75.6,0.63,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.5,22.0,0.0,1.95,2.56,0.61,59.0,85.0,3 oz,106.0,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",pork fresh loin whole ln
10123,44.24,417,12.62,39.69,2.17,1.28,0.0,1.0,5.0,0.41,12.0,144.0,198.0,662.0,1.18,0.042,0.011,20.1,0.0,0.276,0.081,4.022,0.555,0.266,0.0,0.0,0.0,0.0,47.8,0.5,37.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.43,0.4,16.0,0.0,13.296,17.439,6.454,66.0,28.0,"1 slice, raw",442.0,1 package,bacon unprep
10130,72.34,110,20.31,2.62,3.38,1.34,0.0,0.9,6.0,0.44,20.0,240.0,683.0,751.0,1.23,0.053,0.015,37.1,0.0,0.511,0.141,7.227,0.61,0.241,4.0,0.0,4.0,4.0,76.1,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.1,6.0,0.0,0.9,1.09,0.467,48.0,85.0,3 oz,57.0,"2 slices,  (6 per 6-oz pkg.)",canadian bacon unprep
10207,72.84,140,20.76,5.64,1.01,0.0,0.0,0.0,21.0,0.9,23.0,204.0,338.0,67.0,3.0,0.083,0.012,34.8,0.0,0.394,0.271,3.097,1.737,0.577,0.0,0.0,0.0,0.0,87.3,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,22.0,0.0,2.012,2.477,0.645,74.0,85.0,3 oz,197.0,1 rib,pork fresh loin country-style ribs ln
10218,74.97,120,20.65,3.53,1.01,0.0,0.0,0.0,6.0,0.97,27.0,243.0,393.0,52.0,1.87,0.089,0.014,30.3,0.0,0.982,0.337,6.61,0.837,0.765,0.0,0.0,0.0,0.0,79.7,0.52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.3,10.0,0.0,1.181,1.355,0.562,65.0,85.0,3 oz,505.0,"1 roast,  (Yield from 1 raw roast, with refuse, weighing 504g)",pork fresh loin tenderloin ln&fat
10219,61.06,263,16.88,21.19,0.87,0.0,0.0,,14.0,0.88,19.0,175.0,287.0,56.0,2.2,0.045,0.01,24.6,0.7,0.732,0.235,4.338,0.668,0.383,5.0,0.0,5.0,5.0,,0.7,7.0,2.0,2.0,,,,,,,,,,7.87,9.44,1.91,72.0,28.35,1 oz,113.0,4 oz,pork fresh ground
10220,52.75,297,25.69,20.77,1.29,0.0,0.0,0.0,22.0,1.29,24.0,226.0,362.0,73.0,3.21,0.044,0.011,35.4,0.7,0.706,0.22,4.206,0.52,0.391,6.0,0.0,6.0,6.0,88.3,0.54,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.21,0.5,21.0,0.0,7.72,9.25,1.87,94.0,85.0,3 oz,,,pork fresh ground cooked
11007,84.94,47,3.27,0.15,1.13,10.51,5.4,0.99,44.0,1.28,60.0,90.0,370.0,94.0,0.49,0.231,0.256,0.2,11.7,0.072,0.066,1.046,0.338,0.116,68.0,0.0,68.0,68.0,34.4,0.0,13.0,1.0,0.0,0.0,8.0,0.0,0.0,464.0,0.19,0.0,0.0,14.8,0.036,0.005,0.064,0.0,128.0,"1 artichoke,  medium",162.0,"1 artichoke,  large",artichokes
11011,93.22,20,2.2,0.12,0.58,3.88,2.1,1.88,24.0,2.14,14.0,52.0,202.0,2.0,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52.0,0.0,52.0,52.0,16.0,0.0,756.0,38.0,0.0,9.0,449.0,0.0,0.0,710.0,1.13,0.0,0.0,41.6,0.04,0.0,0.05,0.0,134.0,1 cup,12.0,"1 spear,  small (5"" long or less)",asparagus
11018,91.82,24,3.23,0.23,0.62,4.1,1.9,,25.0,0.73,14.0,64.0,253.0,8.0,0.59,0.137,0.203,1.7,31.8,0.121,0.131,1.202,0.184,0.111,191.0,0.0,191.0,191.0,,0.0,948.0,47.0,0.0,,,,,,,0.0,0.0,,0.052,0.007,0.101,0.0,58.0,4 spears,284.0,"1 package,  (10 oz)",asparagus frozen unprep
11052,90.32,31,1.83,0.22,0.66,6.97,2.7,3.26,37.0,1.03,25.0,38.0,211.0,6.0,0.24,0.069,0.216,0.6,12.2,0.082,0.104,0.734,0.225,0.141,33.0,0.0,33.0,33.0,15.3,0.0,690.0,35.0,0.0,69.0,379.0,0.0,0.0,640.0,0.41,0.0,0.0,43.0,0.05,0.01,0.113,0.0,100.0,"1 cup, 1/2"" pieces",55.0,"10 beans,  (4"" long)",beans snap green
11080,87.58,43,1.61,0.17,1.08,9.56,2.8,6.76,16.0,0.8,23.0,40.0,325.0,78.0,0.35,0.075,0.329,0.7,4.9,0.031,0.04,0.334,0.155,0.067,109.0,0.0,109.0,109.0,6.0,0.0,33.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.04,0.0,0.0,0.2,0.027,0.032,0.06,0.0,136.0,1 cup,82.0,"1 beet,  (2"" dia)",beets
11086,91.02,22,2.2,0.13,2.33,4.33,3.7,0.5,117.0,2.57,70.0,41.0,762.0,226.0,0.38,0.191,0.391,0.9,30.0,0.1,0.22,0.4,0.25,0.106,15.0,0.0,15.0,15.0,0.4,0.0,6326.0,316.0,0.0,3.0,3794.0,0.0,0.0,1503.0,1.5,0.0,0.0,400.0,0.02,0.026,0.046,0.0,38.0,1 cup,32.0,1 leaf,beet greens
11090,89.3,34,2.82,0.37,0.87,6.64,2.6,1.7,47.0,0.73,21.0,66.0,316.0,33.0,0.41,0.049,0.21,2.5,89.2,0.071,0.117,0.639,0.573,0.175,63.0,0.0,63.0,63.0,18.7,0.0,623.0,31.0,0.0,25.0,361.0,1.0,0.0,1403.0,0.78,0.0,0.0,101.6,0.039,0.011,0.038,0.0,91.0,"1 cup, chopped",608.0,1 bunch,broccoli
11094,90.55,29,3.06,0.34,0.7,5.35,3.0,1.47,41.0,0.72,16.0,59.0,250.0,17.0,0.34,0.036,0.256,1.9,68.3,0.072,0.114,0.462,0.242,0.175,94.0,0.0,94.0,94.0,,0.0,1138.0,57.0,0.0,15.0,675.0,1.0,0.0,1525.0,1.35,0.0,0.0,101.4,0.052,0.024,0.162,0.0,95.0,".33 package,  (10 oz)",284.0,"1 package,  (10 oz)",broccoli frozen spears unprep
11098,86.0,43,3.38,0.3,1.37,8.95,3.8,2.2,42.0,1.4,23.0,69.0,389.0,25.0,0.42,0.07,0.337,1.6,85.0,0.139,0.09,0.745,0.309,0.219,61.0,0.0,61.0,61.0,19.1,0.0,754.0,38.0,0.0,6.0,450.0,0.0,0.0,1590.0,0.88,0.0,0.0,177.0,0.062,0.023,0.153,0.0,88.0,1 cup,19.0,1 sprout,brussels sprouts
11100,87.07,41,3.78,0.41,0.88,7.86,3.8,,26.0,0.93,20.0,62.0,370.0,10.0,0.31,0.033,0.311,1.5,74.1,0.105,0.122,0.638,0.285,0.202,123.0,0.0,123.0,123.0,,0.0,617.0,31.0,0.0,,370.0,,,,,0.0,0.0,,0.084,0.031,0.207,0.0,95.0,".33 package,  (10 oz)",284.0,"1 package,  (10 oz)",brussels sprouts frozen unprep
11109,92.18,25,1.28,0.1,0.64,5.8,2.5,3.2,40.0,0.47,12.0,26.0,170.0,18.0,0.18,0.019,0.16,0.3,36.6,0.061,0.04,0.234,0.212,0.124,43.0,0.0,43.0,43.0,10.7,0.0,98.0,5.0,0.0,33.0,42.0,0.0,0.0,30.0,0.15,0.0,0.0,76.0,0.034,0.017,0.017,0.0,89.0,"1 cup, chopped",70.0,"1 cup, shredded",cabbage
11112,90.39,31,1.43,0.16,0.64,7.37,2.1,3.83,45.0,0.8,16.0,30.0,243.0,27.0,0.22,0.017,0.243,0.6,57.0,0.064,0.069,0.418,0.147,0.209,18.0,0.0,18.0,18.0,17.1,0.0,1116.0,56.0,0.0,0.0,670.0,0.0,20.0,329.0,0.11,0.0,0.0,38.2,0.021,0.012,0.08,0.0,89.0,"1 cup, chopped",70.0,"1 cup, shredded",cabbage red
11124,88.29,41,0.93,0.24,0.97,9.58,2.8,4.74,33.0,0.3,12.0,35.0,320.0,69.0,0.24,0.045,0.143,0.1,5.9,0.066,0.058,0.983,0.273,0.138,19.0,0.0,19.0,19.0,8.8,0.0,16706.0,835.0,0.0,3477.0,8285.0,0.0,1.0,256.0,0.66,0.0,0.0,13.2,0.037,0.014,0.117,0.0,128.0,"1 cup, chopped",110.0,"1 cup, grated",carrots
11134,59.68,160,1.36,0.28,0.62,38.06,1.8,1.7,16.0,0.27,21.0,27.0,271.0,14.0,0.34,0.1,0.384,0.7,20.6,0.087,0.048,0.854,0.107,0.088,27.0,0.0,27.0,27.0,23.7,0.0,13.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.19,0.0,0.0,1.9,0.074,0.075,0.048,0.0,206.0,1 cup,408.0,1 root,cassava
11135,92.07,25,1.92,0.28,0.76,4.97,2.0,1.91,22.0,0.42,15.0,44.0,299.0,30.0,0.27,0.039,0.155,0.6,48.2,0.05,0.06,0.507,0.667,0.184,57.0,0.0,57.0,57.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.0,15.5,0.13,0.034,0.031,0.0,107.0,"1 cup, chopped (1/2"" pieces)",13.0,1 floweret,cauliflower
11143,95.43,16,0.69,0.17,0.75,2.97,1.6,1.34,40.0,0.2,11.0,24.0,260.0,80.0,0.13,0.035,0.103,0.4,3.1,0.021,0.057,0.32,0.246,0.074,36.0,0.0,36.0,36.0,6.1,0.0,449.0,22.0,0.0,0.0,270.0,0.0,0.0,283.0,0.27,0.0,0.0,29.3,0.042,0.032,0.079,0.0,101.0,"1 cup, chopped",110.0,1 NLEA serving,celery
11147,92.66,19,1.8,0.2,1.6,3.74,1.6,1.1,51.0,1.8,81.0,46.0,379.0,213.0,0.36,0.179,0.366,0.9,30.0,0.04,0.09,0.4,0.172,0.099,14.0,0.0,14.0,14.0,18.0,0.0,6116.0,306.0,0.0,45.0,3647.0,0.0,0.0,11000.0,1.89,0.0,0.0,830.0,0.03,0.04,0.07,0.0,36.0,1 cup,48.0,1 leaf,chard swiss
11156,90.65,30,3.27,0.73,1.0,4.35,2.5,1.85,92.0,1.6,42.0,58.0,296.0,3.0,0.56,0.157,0.373,0.9,58.1,0.078,0.115,0.647,0.324,0.138,105.0,0.0,105.0,105.0,5.2,0.0,4353.0,218.0,0.0,0.0,2612.0,0.0,0.0,323.0,0.21,0.0,0.0,212.7,0.146,0.095,0.267,0.0,3.0,"1 tbsp, chopped",1.0,"1 tsp, chopped",chives
11182,68.4,131,3.62,1.42,0.69,25.87,2.6,3.36,5.0,0.39,25.0,95.0,276.0,4.0,0.53,0.054,0.129,,,0.083,0.05,2.07,0.637,0.12,38.0,,38.0,,30.3,0.0,234.0,12.0,,20.0,59.0,144.0,0.0,807.0,0.1,,,0.4,0.15,0.287,0.463,0.0,141.0,1 cup,,,corn yellow whole kernel frozen microwaved
11206,96.73,12,0.59,0.16,0.36,2.16,0.7,1.38,14.0,0.22,12.0,21.0,136.0,2.0,0.17,0.071,0.073,0.1,3.2,0.031,0.025,0.037,0.24,0.051,14.0,0.0,14.0,14.0,5.7,0.0,72.0,4.0,0.0,8.0,31.0,18.0,0.0,16.0,0.03,0.0,0.0,7.2,0.013,0.002,0.003,0.0,133.0,"1 cup, pared chopped",119.0,"1 cup, sliced",cucumber peeled
11209,92.3,25,0.98,0.18,0.66,5.88,3.0,3.53,9.0,0.23,14.0,24.0,229.0,2.0,0.16,0.081,0.232,0.3,2.2,0.039,0.037,0.649,0.281,0.084,22.0,0.0,22.0,22.0,6.9,0.0,23.0,1.0,0.0,0.0,14.0,0.0,0.0,36.0,0.3,0.0,0.0,3.5,0.034,0.016,0.076,0.0,82.0,"1 cup, cubes",458.0,"1 eggplant, peeled (yield from 1-1/4 lb)",eggplant
11212,72.77,121,11.91,5.2,1.21,8.91,5.2,2.18,63.0,2.27,64.0,169.0,436.0,6.0,1.37,0.345,1.024,0.8,6.1,0.2,0.155,0.915,0.395,0.1,311.0,0.0,311.0,311.0,56.3,0.0,298.0,15.0,0.0,0.0,175.0,8.0,0.0,1619.0,0.68,0.0,0.0,26.7,0.62,1.282,2.156,0.0,155.0,1 cup,,,edamame frozen prep
11215,58.58,149,6.36,0.5,1.5,33.06,2.1,1.0,181.0,1.7,25.0,153.0,401.0,17.0,1.16,0.299,1.672,14.2,31.2,0.2,0.11,0.7,0.596,1.235,3.0,0.0,3.0,3.0,23.2,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,0.08,0.0,0.0,1.7,0.089,0.011,0.249,0.0,136.0,1 cup,2.8,1 tsp,garlic
11216,78.89,80,1.82,0.75,0.77,17.77,2.0,1.7,16.0,0.6,43.0,34.0,415.0,13.0,0.34,0.226,0.229,0.7,5.0,0.025,0.034,0.75,0.203,0.16,11.0,0.0,11.0,11.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.1,0.203,0.154,0.154,0.0,2.0,1 tsp,24.0,".25 cup, slices (1"" dia)",ginger root
11233,84.04,49,4.28,0.93,2.01,8.75,3.6,2.26,150.0,1.47,47.0,92.0,491.0,38.0,0.56,1.499,0.659,0.9,120.0,0.11,0.13,1.0,0.091,0.271,141.0,0.0,141.0,141.0,0.8,0.0,9990.0,500.0,0.0,54.0,5927.0,81.0,0.0,8198.0,1.54,0.0,0.0,704.8,0.091,0.052,0.338,0.0,16.0,"1 cup, 1"" pieces, loosely packed",,,kale
11238,89.74,34,2.24,0.49,0.73,6.79,2.5,2.38,2.0,0.41,20.0,112.0,304.0,9.0,1.03,0.142,0.23,5.7,,0.015,0.217,3.877,1.5,0.293,13.0,0.0,13.0,13.0,,,,,,,,,,,,0.4,18.0,,,,,,19.0,"1 piece, whole",,,mushrooms shiitake
11240,89.61,31,3.12,0.57,1.58,5.1,2.8,0.6,43.0,12.18,19.0,194.0,411.0,21.0,2.03,0.625,0.587,2.2,,0.069,0.205,2.252,0.44,0.136,9.0,0.0,9.0,9.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.1,206.0,,0.065,0.052,0.433,,66.0,1 cup,12.9,1 piece,mushrooms morel
11241,91.0,27,1.7,0.1,1.0,6.2,3.6,2.6,24.0,0.4,19.0,46.0,350.0,20.0,0.03,0.129,0.139,0.7,62.0,0.05,0.02,0.4,0.165,0.15,16.0,0.0,16.0,16.0,12.3,0.0,36.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.48,0.0,0.0,0.1,0.013,0.007,0.048,0.0,135.0,1 cup,16.0,1 slice,kohlrabi
11246,83.0,61,1.5,0.3,1.05,14.15,1.8,3.9,59.0,2.1,28.0,35.0,180.0,20.0,0.12,0.12,0.481,1.0,12.0,0.06,0.03,0.4,0.14,0.233,64.0,0.0,64.0,64.0,9.5,0.0,1667.0,83.0,0.0,0.0,1000.0,0.0,0.0,1900.0,0.92,0.0,0.0,47.0,0.04,0.004,0.166,0.0,89.0,1 cup,89.0,1 leek,leeks
11251,94.61,17,1.23,0.3,0.58,3.29,2.1,1.19,33.0,0.97,14.0,30.0,247.0,8.0,0.23,0.048,0.155,0.4,4.0,0.072,0.067,0.313,0.142,0.074,136.0,0.0,136.0,136.0,9.9,0.0,8710.0,436.0,0.0,0.0,5226.0,0.0,0.0,2312.0,0.13,0.0,0.0,102.5,0.039,0.012,0.16,0.0,47.0,"1 cup, shredded",6.0,"1 leaf, inner",lettuce cos or romaine
11252,95.64,14,0.9,0.14,0.36,2.97,1.2,1.97,18.0,0.41,7.0,20.0,141.0,10.0,0.15,0.025,0.125,0.1,2.8,0.041,0.025,0.123,0.091,0.042,29.0,0.0,29.0,29.0,6.7,0.0,502.0,25.0,0.0,4.0,299.0,0.0,0.0,277.0,0.18,0.0,0.0,24.1,0.018,0.006,0.074,0.0,72.0,"1 cup, shredded",57.0,"1 cup, chopped (1/2"" pieces, loosely packed)",lettuce iceberg
11253,94.98,15,1.36,0.15,0.62,2.87,1.3,0.78,36.0,0.86,13.0,29.0,194.0,28.0,0.18,0.029,0.25,0.6,9.2,0.07,0.08,0.375,0.134,0.09,38.0,0.0,38.0,38.0,13.6,0.0,7405.0,370.0,0.0,0.0,4443.0,0.0,0.0,1730.0,0.22,0.0,0.0,126.3,0.02,0.006,0.082,0.0,36.0,"1 cup, shredded",360.0,1 head,lettuce grn leaf
